为了,"['for', 'for the sake of']","['prep.', 'misc.']"
拜读,['have the honour to read'],['have the honour to read\n']
拜访,"['drop in', 'see', 'pay a visit']","['v.', 'vt.', 'misc.']"
拜佛,['worship Budda'],['worship Budda\n']
拜服,['greatly admire'],['greatly admire\n']
拜会,['pay an official call'],['pay an official call\n ;\n']
拜火教,"['Zoroastrianism', 'Mazdaism (fire-worship)']","['n.', 'misc.']"
拜见,['pay a formal visit'],['pay a formal visit\n ;\n']
拜节,['extend holiday greetings'],['extend holiday greetings\n ;\n']
拜金,['mammonish'],['adj.']
拜客,['pay a visit'],['pay a visit\n ;\n']
拜盟,['become sworn brothers'],['become sworn brothers\n']
拜年,['pay a New Year call'],['pay a New Year call\n']
拜扫,['pay respects to a dead person at his tomb'],['pay respects to a dead person at his tomb\n']
拜师,"[""formally acknowledge sb. as one's master""]","[""formally acknowledge sb. as one's master\n ;\n""]"
拜寿,['congratulate an elderly person on his birthday'],['congratulate an elderly person on his birthday\n ;\n']
拜堂,['perform the formal wedding ceremony'],['perform the formal wedding ceremony\n']
拜天地,['bow to Heaven and Earth as part of a wedding ceremony'],['bow to Heaven and Earth as part of a wedding ceremony\n']
拜托,['request sb. to do sth.'],['request sb. to do sth.\n']
拜望,"[""call to pay one's respects""]","[""call to pay one's respects\n ;\n""]"
拜物教,['fetishism'],['n.']
拜谢,['Bese'],['n.']
拜谒,['pay a formal visit'],['pay a formal visit\n ;\n']
稗,"['cockle', 'Panicum crus']","['n.', 'misc.']"
稗官野史,"['romances', 'books containing anecdotes']","['n.', 'misc.']"
稗子,['barnyard grass'],['barnyard grass\n ;\n']
扳,"['pull', '同“攀”']","['vt.', 'misc.']"
扳不倒儿,['tumbler'],['n.']
扳倒,['pull down'],['pull down\n ;\n']
扳道,['switch'],['vt.']
扳机,['trigger'],['n.']
扳平,['equalize'],['vt.']
扳手,['wrench'],['n.']
扳指儿,"[""a jade ring (originally used to protect the archer's thumb)""]","[""a jade ring (originally used to protect the archer's thumb)\n""]"
扳子,['spanner'],['n.']
攽,"['issue', 'deliver']","['n.', 'vt.']"
班,['class'],['n.']
班车,['regular bus'],['regular bus\n ;\n']
班次,"['classes', 'order of classes or grades at school']","['n.', 'misc.']"
班底,['ordinary members of a theatrical troupe'],['ordinary members of a theatrical troupe\n']
班房,['jail'],['n.']
班会,['class meeting'],['class meeting\n']
班机,['flight'],['n.']
班级,['class and grade'],['class and grade\n']
班轮,"['passenger liner', 'regular ship']","['n.', 'misc.']"
班门弄斧,"[""display one's slight skill before an expert""]","[""display one's slight skill before an expert\n ;\n""]"
班期,"['schedule (of flights, voyages, etc.)']","['schedule (of flights, voyages, etc.)\n']"
班师,['withdraw troops from the front'],['withdraw troops from the front\n ;\n']
班主,['ganger'],['n.']
班主任,['a teacher in charge of a class'],['a teacher in charge of a class\n']
班子,['theatrical troupe'],['theatrical troupe\n']
班组,['team or group'],['team or group\n']
般,['kind'],['n.']
般,['kind'],['n.']
般配,"['match', 'be well matched']","['vt.', 'misc.']"
颁,"['issue', 'promulgate']","['n.', 'vt.']"
颁布,['issue'],['n.']
颁发,"['issue', 'award']","['n.', 'vt.']"
颁奖,"['prize-giving', 'prize presentation']","['n.', 'misc.']"
颁行,['issue for enforcement'],['issue for enforcement\n']
斑,"['spot', 'speckle', 'plasue']","['n.', 'vt.', 'misc.']"
斑白,['grizzled'],['adj.']
斑斑,['full of stains or spots'],['full of stains or spots\n']
斑驳,['mottled'],['adj.']
斑驳陆离,['variegated'],['adj.']
斑点,"['spot', 'speckle']","['n.', 'vt.']"
斑痕,['blackspot'],['blackspot\n']
斑鸠,['turtledove'],['n.']
斑斓,"['gorgeous', 'bright-coloured']","['adj.', 'misc.']"
斑马,['n. zebra'],['n. zebra\n ;\n']
斑马线,"['zebra crossing', 'zebra marking']","['n.', 'misc.']"
斑蝥,['Chinese blister beetle'],['Chinese blister beetle\n ;\n']
斑秃,['alopecia areata'],['alopecia areata\n ;\n']
斑纹,['stripe'],['n.']
斑竹,['mottled bamboo'],['mottled bamboo\n']
搬,['move'],['vi.']
搬兵,['call in reinforcement'],['call in reinforcement\n ;\n']
搬家,"['move', 'move house']","['vi.', 'misc.']"
搬弄,['move sth. about'],['move sth. about\n ;\n']
搬弄是非,"['talebearing', 'stir up enmity']","['n.', 'misc.']"
搬起石头砸自己的脚,"[""lift a rock only to drop it on one's own feet""]","[""lift a rock only to drop it on one's own feet\n ;\n""]"
搬迁,['removal'],['n.']
搬演,['perform'],['vt.']
搬移,"['flitting', 'move', 'flit']","['v.', 'n.', 'vi.']"
搬用,['copy mechanically'],['copy mechanically\n ;\n']
搬运,['carry'],['vt.']
瘢,['scar'],['vt.']
瘢痕,"['cicatrix', 'scar']","['n.', 'vt.']"
癍,"['pimple', 'rash on skin']","['n.', 'misc.']"
阪,['slope'],['n.']
坂,['hill slope'],['hill slope\n']
板,['board'],['n.']
板,['board'],['n.']
板板六十四,"['unaccommodating', 'stick to rules strictly']","['adj.', 'misc.']"
板报,['blackboard newspaper'],['blackboard newspaper\n']
板壁,['wooden partition'],['wooden partition\n']
板材,"['panel', 'sheet material']","['n.', 'misc.']"
板擦儿,['blackboard eraser'],['n.']
板寸,['crew cut'],['crew cut\n ;\n']
板凳,['wooden bench or stool'],['wooden bench or stool\n']
板斧,['broad axe'],['broad axe\n']
板鼓,['a small drum for marking time'],['a small drum for marking time\n']
板胡,['a bowed two stringed instrument with a thin wooden soundboard'],['a bowed two stringed instrument with a thin wooden soundboard\n']
板结,"['harden', 'hardened']","['vi.', 'adj.']"
板块,['plate'],['n.']
板蓝根,['isatis root'],['isatis root\n ;\n']
板栗,['Chinese chestnut'],['Chinese chestnut\n ;\n']
板楼,['slab-type apartment building'],['slab-type apartment building\n']
板上钉钉,['That clinches it.'],['That clinches it.\n ;\n']
板式,['plate-type'],['plate-type\n ;\n']
板书,['writing on the blackboard'],['writing on the blackboard\n ;\n']
板刷,['scrubbing brush'],['n.']
板瓦,['pan tile'],['pan tile\n ;\n']
板型,['plate cut'],['plate cut\n']
板鸭,['pressed salted duck'],['pressed salted duck\n ;\n']
板牙,['threading die'],['threading die\n ;\n']
板烟,"['cavendish', 'plug (of tobacco)']","['n.', 'misc.']"
板眼,['measure in traditional Chinese music'],['measure in traditional Chinese music\n']
板油,['fleed'],['fleed\n ;\n']
板障,['diploё'],['diploё\n']
板正,['upright'],['adj.']
板滞,['stiff'],['adj.']
板子,['plank'],['n.']
昄,['big'],['adj.']
版,['edition'],['n.']
版本,"['versions', 'release']","['n.', 'vt.']"
版次,"['edition', 'the order in which editions are printed']","['n.', 'misc.']"
版画,['print'],['n.']
版刻,['carving'],['n.']
版面,"['layout', 'space of a whole page']","['n.', 'misc.']"
版权,['copyright'],['n.']
版权页,"['colophon', 'copyright page']","['n.', 'misc.']"
版式,['format'],['n.']
版税,['royalty on books'],['royalty on books\n ;\n']
版图,['territory'],['n.']
版心,['type area'],['type area\n']
版型,['model'],['n.']
版主,"['moderator', 'forum moderator']","['n.', 'misc.']"
钣,['metal plate'],['n.']
钣金,['metal plate'],['n.']
舨,"['sampan', 'small fishing boat']","['n.', 'misc.']"
蝂,['见 “??蝂”'],['见 “??蝂”\n']
办,"['go about', 'do', 'manage']","['v.', 'n.', 'vt.']"
办案,['handle a case'],['handle a case\n ;\n']
办差,['take charge of missions'],['take charge of missions\n']
办法,['way'],['n.']
办公,"['work', 'handle official bussiness']","['n.', 'misc.']"
办公室,['administration office（行政）'],['administration office（行政）\n ;\n']
办理,"['transaction', 'manage', 'to conduct']","['n.', 'vt.', 'misc.']"
办事,"['work', 'handle affairs']","['n.', 'misc.']"
办事处,['office'],['n.']
办事员,"['clerk', 'office clerk']","['n.', 'misc.']"
办学,['run a school'],['run a school\n']
办罪,['punish'],['vt.']
半,"['half', 'semi-', 'incomplete', 'in the middle']","['n.', 'pref.', 'adj.', 'misc.']"
半百,['fifty (years of age)'],['fifty (years of age)\n']
半半拉拉,['incomplete'],['adj.']
半辈子,['half a lifetime'],['half a lifetime\n']
半壁,"['half', 'a slice of territory']","['n.', 'misc.']"
半壁江山,['half of the country usually referring to the unoccupied part of an invaded country'],['half of the country usually referring to the unoccupied part of an invaded country\n']
半边,['half of sth.'],['half of sth.\n ;\n']
半边天,['half the sky'],['half the sky\n']
半成品,['semi-finished product'],['semi-finished product\n ;\n']
半大,['medium (-sized)'],['medium (-sized)\n']
半导体,['semiconductor'],['n.']
半岛,['peninsula'],['n.']
半道儿,"['midway', 'on the way', 'halfway']","['n.', 'adj.', 'adv.']"
半点,['the least bit'],['the least bit\n']
半吊子,['dabbler'],['n.']
半封建,['semi-feudal'],['semi-feudal\n']
半价,['half fare'],['half fare\n ;\n']
半截,['half (a section)'],['half (a section)\n']
半斤八两,"['upsides', 'be six of one and half a dozen of the other']","['adv.', 'misc.']"
半径,['radius'],['n.']
半空,['half-empty'],['half-empty\n ;\n']
半拉,['half'],['n.']
半劳动力,['one able to do light manual labour only'],['one able to do light manual labour only\n ;\n']
半劳力,['semi able-bodied worker'],['semi able-bodied worker\n ;\n']
半老徐娘,['an elderly woman of fading charms'],['an elderly woman of fading charms\n ;\n']
半流体,['semifluid'],['n.']
半路,"['midway', 'on the way', 'halfway', 'in progress']","['n.', 'adj.', 'adv.', 'misc.']"
半路出家,['become a monk or nun late in life'],['become a monk or nun late in life\n ;\n']
半票,['half rate ticket'],['half rate ticket\n']
半瓶醋,['dabbler'],['n.']
半山腰,['hillside'],['hillside\n']
半晌,['half of the day'],['half of the day\n']
半身不遂,"['hemiplegia', ""paralysis of half of one's body""]","['n.', 'misc.']"
半生,['half a lifetime'],['half a lifetime\n']
半生不熟,['halfcooked'],['halfcooked\n ;\n']
半世,['half a lifetime'],['half a lifetime\n']
半衰期,"['half-time', 'half-life period']","['n.', 'misc.']"
半死,"['dead-alive', 'half-dead']","['adj.', 'misc.']"
半死不活,['half-dead'],['half-dead\n ;\n']
半天,['half of the day'],['half of the day\n ;\n']
半途,"['midway', 'halfway']","['n.', 'adv.']"
半途而废,['give up halfway'],['give up halfway\n ;\n']
半推半就,['be disposed to but feigning to be willy-nilly'],['be disposed to but feigning to be willy-nilly\n ;\n']
半托,['day care'],['n.']
半文盲,['semiliterate'],['n.']
半夏,['Pinellia ternata'],['Pinellia ternata\n']
半信半疑,"['dubitate', 'uncertainty']","['v.', 'n.']"
半休,['work half day (because of poor health)'],['work half day (because of poor health)\n']
半夜,['midnight'],['n.']
半夜三更,['late at night'],['late at night\n ;\n']
半音,"['semitone', 'half-step']","['n.', 'misc.']"
半元音,['semivowel'],['n.']
半圆,['semicircle'],['n.']
半月刊,['semimonthly'],['n.']
半殖民地,['semicolony'],['n.']
半制品,['semi-finished product'],['semi-finished product\n ;\n']
半中腰,"['middle', 'halfway']","['adj.', 'adv.']"
半子,['son-in-law'],['n.']
半自动,['semi-automatic'],['adj.']
扮,['play the part of'],['play the part of\n ;\n']
扮鬼脸,"['make faces', 'facemaking']","['vi.', 'misc.']"
扮戏,['make up'],['make up\n']
扮相,['the appearance of an actor or actress in costume and makeup'],['the appearance of an actor or actress in costume and makeup\n']
扮演,"['act', 'play the part of']","['vt.', 'misc.']"
扮装,"['makeup', 'disguise']","['n.', 'vt.']"
伴,"['partner', 'accompany']","['n.', 'vt.']"
伴唱,['vocal accompaniment'],['vocal accompaniment\n ;\n']
伴当,['servant'],['n.']
伴读,['reading partner'],['reading partner\n']
伴郎,['groomsman'],['n.']
伴侣,['partner'],['n.']
伴娘,['bridesmaid'],['n.']
伴生,['associated'],['adj.']
伴声,['accompanying sound'],['accompanying sound\n']
伴宿,['pass night with a person'],['pass night with a person\n']
伴随,['accompany'],['vt.']
伴同,['accompany'],['vt.']
伴舞,['be a dancing partner'],['be a dancing partner\n']
伴星,"['comes', 'secondary', 'companion star']","['n.', 'adj.', 'misc.']"
伴音,"['audio', 'accompanying sound']","['adj.', 'misc.']"
伴游,['accompanying traveller'],['accompanying traveller\n']
伴奏,['accompany'],['vt.']
坢,"['muck', 'manure']","['n.', 'vt.']"
拌,['stir and mix'],['stir and mix\n']
拌和,"['blend', 'mix and stir']","['vt.', 'misc.']"
拌嘴,"['wrangle', 'quarrel']","['n.', 'vi.']"
绊,['cause to trip'],['cause to trip\n ;\n']
绊脚石,['stumbling block'],['stumbling block\n']
绊马索,['heel rope'],['heel rope\n']
绊手绊脚,"[""encumber the free movement of one's limbs (as heavy clothing, etc.)""]","[""encumber the free movement of one's limbs (as heavy clothing, etc.)\n ;\n""]"
绊子,['obstruction'],['n.']
湴,"['slush', 'mud']","['n.', 'vt.']"
靽,['leather strap on the back of horse'],['leather strap on the back of horse\n']
瓣,['petal'],['n.']
瓣膜,['valve'],['n.']
瓣胃,['omasum'],['n.']
邦,"['state', 'a surname']","['n.', 'misc.']"
邦交,['diplomatic relations'],['diplomatic relations\n ;\n']
邦联,['confederation'],['n.']
帮,"['assist', 'help']","['n.', 'vt.']"
帮,"['assist', 'help']","['n.', 'vt.']"
帮,"['assist', 'help']","['n.', 'vt.']"
帮办,['assist in managing'],['assist in managing\n']
帮补,"['subsidize', 'help out with money']","['vt.', 'misc.']"
帮衬,"['assist', 'help']","['n.', 'vt.']"
帮厨,['help in the mess kitchen'],['help in the mess kitchen\n']
帮倒忙,['be more of a hindrance than a help'],['be more of a hindrance than a help\n ;\n']
帮扶,['assist'],['assist\n ;\n']
帮工,['help with farm work'],['help with farm work\n']
帮会,['secret society'],['secret society\n ;\n']
帮教,['help and educate'],['help and educate\n']
帮忙,"['help', 'do a favour']","['n.', 'misc.']"
帮派,['faction'],['n.']
帮腔,['vocal accompaniment in some traditional Chinese operas'],['vocal accompaniment in some traditional Chinese operas\n']
帮手,['helper'],['n.']
帮闲,['depend on and serve the rich and powerful as a literary'],['depend on and serve the rich and powerful as a literary\n']
帮凶,"['accomplice', 'accessary', 'be an accomplice']","['n.', 'adj.', 'misc.']"
帮佣,['take service with'],['take service with\n']
帮助,"['assist', 'help']","['n.', 'vt.']"
帮子,['outer leaf'],['outer leaf\n']
帮子,['outer leaf'],['outer leaf\n']
梆,"['rat-tat', ""watchman's clapper""]","['n.', 'misc.']"
梆子,"[""watchman's clapper""]","[""watchman's clapper\n""]"
梆子腔,['Chinese local operas performed to the accompaniment of wooden clappers'],['Chinese local operas performed to the accompaniment of wooden clappers\n']
浜,"['creek', 'small river']","['n.', 'misc.']"
绑,"['bind', 'tie up']","['vt.', 'misc.']"
绑匪,['kidnapper'],['n.']
绑缚,"['lashing', 'bind']","['n.', 'vi.']"
绑架,['kidnap'],['vt.']
绑票,['kidnap (for ransom)'],['kidnap (for ransom)\n']
绑腿,"['puttee', 'leg wrappings']","['n.', 'misc.']"
绑扎,"['colligation', 'strap']","['n.', 'vt.']"
榜,"['announcement', 'a list of names posted up']","['n.', 'misc.']"
榜首,['the top candidate of an examination'],['the top candidate of an examination\n']
榜文,"['notice', 'the writing in a public notice']","['n.', 'misc.']"
榜眼,['the second place at palace examinations'],['the second place at palace examinations\n']
榜样,['example'],['n.']
牓,['同“榜”'],['同“榜”\n']
膀,"['arm', 'upper arm']","['n.', 'misc.']"
膀臂,"['arm', 'upper arm']","['n.', 'misc.']"
膀大腰圆,['tall and sturdy'],['tall and sturdy\n']
膀子,"['arm', 'upper arm']","['n.', 'misc.']"
髈,"['thigh', '同 “膀”']","['n.', 'misc.']"
蚌,"['mother-of-pearl', 'clam', 'freshwater mussel']","['n.', 'vi.', 'misc.']"
